"Taxon";"Noms usuels";"Fiche";"Comestibilité";"SMS";"A imprimer";"Lieu";"Apparition";"Notes";"Ecologie";"Thème 1";"Thème 2";"Thème 3";"Thème 4";"Iconographie 1";"Iconographie 2";"Iconographie 3";"Numéro herbier"
"100";"Amanite des aulnes";"1";"NC";"True";"True";"None";"J2017";"";"Sous aulnes, zones humides";"None";"None";"None";"None";"";"";"";"None"
"200";"Amanite ceintur�e

Riesenstreifling";"2";"C";"True";"False";"None";"1995,1998";"";"Dans les for�ts de feuillus et de conif�res sur tout sol.";"None";"None";"None";"None";"";"";"";"None"
"300";"";"3";"";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"350";"";"4296";"NC";"False";"False";"None";"";"";"Sous Pinus pinea";"None";"None";"None";"None";"";"";"";"None"
"400";"";"4";"NC";"True";"False";"None";"1998";"";"";"None";"None";"None";"None";"";"";"";"None"
"410";"";"4804";"NC";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"500";"";"5";"";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"600";"";"6";"NC";"True";"False";"None";"1995,1998";"";"";"None";"None";"None";"None";"";"";"";"None"
"700";"";"7";"";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"800";"";"8";"";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"810";"";"4336";"NC";"True";"False";"None";"2014";"";"Sous Populus sp., �ventuellement sous Salix sp.";"None";"None";"None";"None";"";"";"";"None"
"811";"";"4356";"NC";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"820";"";"4377";"NC";"False";"False";"None";"";"";"Sous Quercus sp.";"None";"None";"None";"None";"";"";"";"None"
"830";"";"4432";"NC";"False";"False";"None";"";"";"Sous Quercus sp.";"None";"None";"None";"None";"";"";"";"None"
"831";"";"5279";"NC";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"900";"";"9";"";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"1000";"";"10";"";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"1050";"";"4895";"NC";"False";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
"1100";"";"11";"";"False";"False";"None";"";"";"Sous saules nains";"None";"None";"None";"None";"";"";"";"None"
"1150";"";"5119";"NC";"False";"False";"None";"";"";"Sous Betula sp. et saules nains";"None";"None";"None";"None";"";"";"";"None"
"1200";"Amanite vagin�e, grisette

Grauer Streifling";"12";"C";"True";"False";"None";"1995,1998,2000";"";"Sous feuillus , conif�res et dans les prairies.";"None";"None";"None";"None";"";"";"";"None"
"1300";"";"13";"C";"True";"False";"None";"";"";"";"None";"None";"None";"None";"";"";"";"None"
